label,comments,ID
0,Đã từng là dân war,70
2,dân war có 2 loại 1 là nghe 2 phía ms chửibt ai sai ai đúng ms hay 2 là nghe 1 phía r nhào vào cắn bậy,71
-1,đrne,72
2,1 lũ ửa vào khoe chiến tích ,73
0,juan bn ei coi chừng bị cắn á,74
2,mõm online khoe chiến tích,75
0,có thì khoe  chứ đâu có như mấy đứa kco ,76
0,khoe thì ai công nhận chiến tích này,77
0,khoe thì cứ khoe xem thành tích các dân ửa 1 thời oai nhau ntn thôi,78
0,Chúc b bình an ,79
0,chúc bạn bình an,80
0,có thì khoe  chả ph cần ai côg nhận ,81
0,Số đông là win ,82
0,hài chúa,83
0,bố mẹ nào chả tự hào về con mình ,84
0,Kkkkkk chuẩn ,85
0,chuẩn dân ửa dù là thời nào thì đều như nhau th ,86
0,Vậy bạn bt ửa không,87
2,dân ửa oai quá  rồi nào lớn,88
0,kh qua nỗi rồi,89
0,1 lũ chiến tranh là cgi the ,90
2,Con nít quá m ơi,92
2,Bọn ửa đú toàn bọn mõm  Mõm được cái mõm trên mạng chứ bị ngta hẹn là xách dép mạnh ai nấy chạy á hả  ,93
0,Lên tới cấp 3 chưa  ,94
0,rất là hài nháaa,95
0,cảm giác bị đi dí kkkkk cx vui,96
0,rep ib mess t kìa ,97
0,thời đó k gặp war bọn nó lmj bt cảm giác,98
2,ns đúng ms có con vào tap chứ ,99
0,suỵt nói đúng r đấy,100
0,cười nữa,101
0,sao v,102
2,leon  kitty  k c ắ n lại dc t chỉ đến thế là cùng ,103
2,chửi nhau gây trò t tưởng làm gì cao siêu được vinh danh v má bớt trẩu đi ,104
0,t đâu có nhận t oai  khen t hả mà t đâu có cần lời khen đó  bao giờ t lớn thì hỏi thgian chứ hỏi t  t có ph là thgi đâu mà t biet ,105
0,có thấy từ  có thì khoe  khôg nhỉ  ,106
0,đáng để khoe không ta,107
0,chúc c bình an ,108
-1,droaii,109
0,1 thời huy hoàng của t  h t bán rau luột đây ai mua ko ib t ship tới nhà 100k 1 bố rau tươi nhiễm vi khuẩn ,110
0,war là cgi,111
0,xin típ chửi dân war đụng chạm đến danh dự của bố mẹ ,112
0,đã từng là 1 dân war ,113
0,từng là 1 dân war chính hiệu ,114
0,Nói tht ửa 2023 k bằng hồi 2021,115
0,Ửa giờ toàn spam ,116
-1,Tag bot,117
0,Ê thật giờ toàn spam hoặc teencode,118
-1,juan ,119
2,m giỏi nói đúng mấy con dí t bữa cũng toàn spam,120
0,Gáy không lại xong quay ra chê ip nút home  không thì adr ,121
0,Thật gặp ở 2021 là kh cãi nổi luôn ấy,122
0,thấy teencode với spam là nản,123
0,Juan luôn bữa k làm gì bị cno mời vào Grp rồi spam bot  chê ip nút home,124
0,ửa giờ kiểu ,125
0,CHUẨN LUÔN K LỆCH DC,126
2,toàn mấy bọn c1,127
0,bữa regbox giải quyết đúng sai cái bọn nó spam cho đã xong nhận win,128
0,thật,129
0,Gặp r,130
0,hồi 2021 nổi nhất là ĐTC với B52,131
0,Tht á hqua ms bị regbox mà ửa kiểu j toàn đuối lý Toàn spam với teencode ,132
0,Ê giống t,133
0,Add fb t ửa cùng nè ,134
0,Không cậu ơi cno chơi ig ,135
0,Có ig thì vô thử chứ mấy em cứ spam rồi nhận mih win nhận mih kh ai đạp nổi ,136
0,Đúng nè,137
2,cho dù là tương lai hay quá khứ thì chúng nó cũng là lũ thất bại,138
0,ửa thời này chụp vài cái tn r xưng win ak,139
0,đúng nè,140
-1,23 toàn đú,141
0,Đúng vayyy,142
0,k bằng 2018 2019,143
0,Tùy cảm nhận th ạ,144
0,2019 mới là cái thời nổi nhất,145
0,1819 mới đúng ,146
0,Tùy cảm nhận ạ mih thấy 2021 nó ok hơn bh,147
2,thật ý toàn lũ lôi bố mẹ ra chửi,148
0,Tr oi bữa t bị ni của anh họ t dí ửa chỉ vì t nhờ ổng mua hộ t li trà sữa đó trời ,149
0,mách mẹ ông anh họ là chị ng yêu anh họ chửi con  cô kêu ảnh chia tay đi,150
0,T nói r á mẹ ổng cũng kiểu cấm qua lại với ng nv r mà ổng vẫn lén iu á bà oi ,151
0,ủa ổng có bênh bà kh bà oi,152
0,Có bênh tui với lại giải thích á nhma còn iu dữ quá nên k muốn ct ,153
2,bữa t bị lũ ửa 2023 dí chạy tụt quần chỉ vì một chuyện nhỏ,154
0,Bữa t cũng bị ửa 2023 dí chỉ vì t nhắn nhờ anh họ t mua hộ li trà sữa  ng dí t là ni của ổng ,155
0,2021 ĐTC B52 BBH đồ đó ,156
-1,CECK nữa,157
0,lạy tr chỉ dc mác box lớn chữ trình hơn ai đâu ,158
2,t thấy rồibọn đú đc cái spamhồi đó vui hơn,159
-1,juan r,160
0,h toàn như vòng lặp r teencode xog block các thứ,161
0,Ửa 20202021 nè,162
0,Ửa h hay spam như mấy lũ tật20202021 gõ ngôn mới vui,163
0,thậtt,164
0,Kệ em ,165
0,toàn đú ,166
0,dr,167
0,giờ cno sài treo  nhây ko như 2021 hồi đó toàn gõ,168
0,Treo app t cũng dùng nma t gõ ngôn nhiều hơn,169
0,chính xác,170
0,đương nhiên ròi sau bằng đcc,171
-1,Ngtrinh juan r,172
0,t thấy hề như nhau ,173
0,Hề tht ấy nhma có s thì 2021 vẫn hơn,174
0,thật ba ơi,175
0,đồng ý,176
0,S mà bằng đc,177
0,Yess  dân ửa lúc trước ửa là tắt nắng  dân ửa giờ toàn đú theo  bỏ nghề rồi mà bây giờ nhìn xong t phải cười nửa miệng,178
0,kh có cửa ln ấy chớ,179
0,Thật toàn spam,180
0,spam teencode kh,181
2,het suy thi doi ten ng dep lol giong ce mik vá,182
0,2023 h đâu còn hw,184
0,thật  toàn đú,186
0,yes hồi 20202021 nó phải gọi là nét,187
1,2021 là cdj v tính từ thời 2017,188
0,tànnn,189
0,tuổi,190
0, t là đứa đi trị dân war,191
0,Cho ai chưa biết Dân war là những người thích chiến tranh tranh luận hay đi tạo drama giữa các nhóm với nhau tạo xích mích gây chuyện nhằm chọc phá,192
0,Theo mình hiểu thì là như thế có sai thì mọi người thông cảm cho mình ạ,194
0,1 thời dtc ,195
0,same,196
2,kì thị dân war,197
0,2023 t ửa hơi nhiều,198
0,mới vào tcn của mấy ac ửa ne,199
-1,tcn,200
-1,fay buc,201
0,xin,202
0,bắn cái mấy bả add tag 1 đống nè nha,203
0,sao đâu mà,204
2,ngày xưa bị dân ửa vô táp ,205
2,kì thị ké ,206
0,Là chửi lộn đó,207
0,cái tgh toàn hw ,208
0,Đr,209
0,thật chứ war lỏ onl cũng khoe,210
0,T cũng kì thị,211
0,ls zị bn,212
0,hồi 2021 t toàn tự xưng mẹ đứng trên đỉnh vinh quang ,213
0,tao xưng ChÚa ,214
0, anh đây là ng đứng trên đỉnh vinh quang con nào đủ trình lên đây war vs bố,215
0,còn t thì mẹ bước chân từ bậc thượng đế ,216
0,T toàn kêu mẹ thiên hạ vs tớ cậu,217
-1,2019 2020 ,218
0,gióng t nè,219
0, con nào réo tên anh,220
0,mô phật ,221
0,chủ yếu chúng nó xưng là anh ấy,222
0,hồi trc gặp mấy đứa tật dân war r t dame cho mếu,223
0,ngồi xem mấy mẹ xàm tự nhận làm dân war ,224
0,oai quá ta ,225
0,sao lại kh,226
0,c lớn đó ,227
0,k chọc chị,228
0,bao giờ lớn,229
0,Nhận đệ không chị ,230
0,kh baoh,231
0,dí quở tao đê,232
0,thuii tui tu roàiii,233
0,ngầu quá cậu ơi,234
0,cảm ơn nhóo,235
0,bao giờ e lớn ,236
0,nào lớn,237
0,tỷ năm nữaaa,238
0,gắng lên sắp ngầu roi ,239
0,Chừng nào lớn,240
0,ửa 2023 oai,241
0,khi nào bé lớn,242
0,không được trêu bạn ,243
0,oách,244
0, cảm ơnnn,245
1,show gì dạ show gái mẹ m hỏ kkk,246
-1,kkkk,247
-1,kkk,248
0,lớn lên rùi suy nghĩ lại coi thử chắc đội quần,249
0,Fifai là bt ngầu r,250
0,show gì  show luôn t xem,251
0,làm tí công nghệ kh cô bé fi fai,252
0,bao giờ mới chịu lớn,253
0,khoe chiến tích,255
0,trông,256
0,Chị lớn,257
0,dữ quá,258
0,T cần show thử t xem,259
0,link fb,260
0,nie dám reply lại tao không em   bảo show tao reply mà không dám reply lại tao dạ kkk,261
0,cho mấy em oai tí,262
0,chị lớn đó bây bớt đi lớn mõm,263
0,kh bit chị lớn lớp mấy nhỉ,265
2,mày bị lạc ở thời nguyên thuỷ à,266
0,dữ v sao cười chết,267
-1,lt ei cobe,268
0,oai,269
0,tht t cười nãy giờ,270
0,vào spam một mớ rồi capcut giựt giựt là thành dân ửa ngầu r hả,272
0,May quá tui về real ròi,273
0,ĐTC  B52 BBH HP ,274
0,bn này dân war 28th4 ,275
0,t từng nghĩ mình dân war ai ngờ là wax lông náck kh bt sao hồi đó làm dị dc mà kh ngại,276
0,Ko nha,277
0,đang lm ,278
0,Dân war là gì v,279
0,đọc cmt khờ luôn không biết dân war là gì,280
0,châm emm kì thị dân war,281
2,Kì thị 1 số ng trong dân war chỉ nghe 1 phía r nhào vô cắn,282
0,đã từng,283
0,dân war là gì v,284
0,dân con nít,285
0,xợ,286
0,hồi xưa mê luôn mà ,287
2,mèo kêu gâu gâu hướng dẫn e edit dựt dựt ik,288
0,2021 t là hotwar ở B52 và quen nhiều ng hotwar ,289
0,rủ dân war vào call mà ac ko vào ,291
0,t dân war trên ins trên tik thì kh,292
2,mấy con dân ửa dc cái ngôn dài mà bị ngta nói 1 câu là câm ,293
0,n gọc một thời ,294
0,trước bị bạn ép vào war mà vào r thấy rén rén nên out từ đó chả bao h liên quan đến nữa,295
0,hồi 2021 vào gr của LGBT hay đi war nhma t vào hóng  nếu bên kia sai thì nói giúp gr nhà vài câu còn bên nhà sai để 2 bên tự xử,296
0,aiphuong b có phải là dân ửa k,297
0,nhìn bà này quen,298
-1,ai a,299
-1,Phuong Linh ,300
0,ủa g còn dân ửa luôn hả,301
0,t đag bị dí,302
0,nhớ 2021 t dữ lắm,303
0,cháan,304
0,hãi dân war,305
0,B52 mãi keooo,306
0,Thời này còn mấy thành ph v à ,307
-1,đr c,308
0,maithanh4384 nhớ lại thời lm dân war ,309
0,bon b coo từng k,310
0,rk nhớ 1 thời ko,311
0,2020 t là dân ửa,313
0,dân war nhưng biết đúng biết sai k phải bổ vào mà cắn cùng mới là dân war chí,314
0,dân war là j v,315
0,Trẻ con ,316
0,trau con mới lớn ,317
2,đến h vẫn kì thị,318
0,2122 một thời huy hoàng của t,319
0,Ngọc Linh mỏ hỗn nhưng cuti xinh gai hay coc bé xì tin thít ăn gà rán cat cuti vãi ò ,320
0,2021 t bị ửa quá trời  dí mà t chạy kh kịp ,321
0,quá khứ,322
0,Trước t trg b52 ,323
0,m khác gì ,324
0,kh nói b trong tus ấy,325
-1,da,326
0,vui thoy,327
0,T có nhỏ bạn tự nhận nó dân ửa lúc nào nó cx gây chuyện vs ngt trc r bảo người ta muốn ửa hay gìHề,329
0,gặp là chạy đụng là mất,330
0,ceck chợ đêm r đấng tối cao đồ đó,331
0,war là gì v,332
0,dân ửa làm cho mxh ngày càng vui hơn ,333
0,ĐẤNG TỐI CAO từng là nhà t đó bây,334
0,dân ửa link face đây a chấp nè,335
0,từng cãi thắng dân ửa,336
0,dân ửa 20182019 thì gõ r nhây 20222023 sptreobot,337
0,1 Thời huy Hoàng ,338
2,lũ đú 2023,339
0,nhột ạ,340
0,nhìn 2023 coi lại 2021,341
0,giờ bị chị kia đòi ửa mới ghê  ,342
0,Trời ơi,343
0,đồng chí nào dân ửa ko ạ,344
0,Từng,345
0,thôi mà,346
0,ước bị dí war,347
0,2021 t từng làm dân ửa  nhớ lại hồi đó chụp ảnh selca như cớt,348
0,T từng bị dân ửa dí,349
0,úi úi tui hw lunn nee sợ bị kì thị,351
0,19 là t biết ửa r t cân cả bõ giờ xem lại k khác gì bọn trẻ chí choé mới lớn,353
0,CôCẩmLan Diệt Blonku x Bitele c này chỉ bá sàn mà chị spam không nừ ,354
0,kì thị nặng,355
0,Nghĩ đúng là tiếp xúc mxh năm 2021 đúng tệ toàn ửa,356
0,một thời ,357
0,một thời huy hoàng,358
0,đã từng 1 thời đồ cx có tiếng à,359
0,tolanhims vh baoyennn kìa,360
0,nhớ thời 20 21 war xong tí f5 thấy mấy em mấy chị người dùng fb ,361
0,Hả,362
0, tr ơi hồi đó nhớ cái đợt của dtc với b52 ghê,363
-1,tb ,364
0,bé luỵ wwar ,365
0,quanh dethuongg ai aii,366
0,t cx từng dành tg đi lm ửa rồi đi ửa như mấy a chj trog dtc,367
0,nói chung là t xin idea,368
0,bao g lớn,369
2,mặc kệ lũ war cho xinn tên nhạc,370
0,2021 mess t cả đóng box,371
0,2021 trùm ln,372
0,Ửa,373
0,đọc điều số 1 trong 5 điều Bác Hồ dạy,374
0,2021 t làm ửa  cãi thâu đêm suốt sáng ,375
0,2122 t ửa ác,376
0,mấy c nổ kinh phết ,377
0,Xin nhạc ạ,378
0,sắp ngầu r đó các cháu ,379
0,tao từng trùm ửa fifai,380
0,trung bình mấy em cấp 2,382
0,từng đi ửa năm 20202021,384
0,Đọc cmt t cười bò,385
0,chịu,386
0,giờ vẫn còn à,387
0,xin lỗi tôi ko nhá được,388
0,1 thời huy hoàng 2021 ,390
0,Là gì thế các cậu ,391
0,đú là jzayy tui k biết war vs ửa nhma t biết bb oba biết đó,392
0,mấy bạn oai quá,393
0,hồi đó t bị thêm vô nhóm 11 lần  t vẫn cãi lại 11 nhóm và h thì t vẫn sống ,394
0,Ửa reg box bot chạy ttspam ip call wall hộ edit vdsam giựt tung l chỉnh màu tím sángxanh sáng Avt mấy ac TQanime  mo Phat quá đủ rồi,395
0,từng th g t hướng nội,396
0,thua,397
0,ủa sao j thấy ce13 nhỉ,398
0,2021 2022 mới duii ,399
0,Thắng thì gáy thua thì kéo hội vào ,400
0,xin tên nhạc với ạ,401
0,từ năm 2021 cơ giờ bỏ roài,402
0,Xin tên nhạc,403
0,Còn có mấy cái gr dạy war các thứ nx Hài chúa,404
0,bà oi tui xin tên nhạc,405
0, toàn bị mấy ac lớn add vào nhóm xong ửa,406
0,ư xl nha ,407
0,chips cmt nguyen cai ổ,408
0,T từng là dân war trong play,410
0,H vẫn còn,411
0,hồi 20212022 dân war có khắp nơi luôn có tao ở trỏng,412
0,1 thời,413
0,Từng là dân ửa_,414
0,Jessica tui vs bà,415
0,2024 vẫn còn ,416
0,1819 chỉ bt các idol gọi tớ  hw,417
-1,có,418
0,Đọc bl thấy hơi bùn vì bị cban kì thị,419
0,em hỏi ngu tí ửa là gì aa,420
0,lần đầu bt dân war ,421
0,trc thấy ngta làm dân war mình cx đòi đú theo bị phốt xoá tk fb,422
0,dân war là cái gì thế ạ,423
0,t là dân war nhm t ửa con kia cái có ny lun mă òm ny t là anh của con t ửa,424
0,nghe nhạc này nhớ 2022 tập làm dân war,425
0,2021 dân war 2022 tricker 2023 tùm lum ,426
0,tốincoor quá mà dân war là cgi v ạ,427
0,tao không làm dân war mà vào làm thẩm phán tối cao,428
0,dân war là gì ,429
0,ngồi xem mấy c nhận mình dân war,430
0,học đc vài từ nghĩ mình dân war,431
0,Dân war là gì v mấy b oi,432
0,hôm trc bị mấy ac bảo là dân war r ửa mình,433
0, k biết dân war là dân gì,434
0,dân wardân chiến tranh,435
2,t ko phải dân war gì hết t chỉ gặp ai mà ghét là t chửi hết tông ti họ hàng trong game trên MXH hay ngoài đời,436
0,Kì thị dân war,437
0,fb t toàn dân war ,438
0,tới h vẫn còn dân war nha bây tại t hồi đó cũng từng t bt mà t nghe 2 phía rõ ràng t mới cãi ,439
0,Dân war  đó giờ nghe nhân dân tệ của trung khủa chứ chưa bt dân War  chắc t là ng tối cổ,440
0,2020 t từng là dân war,441
0,ước 1 lần combat với dân war ,442
0,từng dân war,443
2,dân war chỉ đc cái mỏ th ,445
0,từng là dân war ,447
0,hồi 2021 dân war cũng vui phết,448
0,Dân war là gì vậy,449
0,kh phải dân war nhma dân hóng war thì có bé ,450
0,năm t 12t t cũng là 1 dân war h nhớ lại thấy hề kinh,451
0,dân war là dì dị t kh hỉu,452
0,từng là dân war,453
0,T từng là dân war,454
0,nic tao là dân war,455
0,lúc 2021 bị đám dân war 56 đứa thêm vào nhóm chửi qa trxong r phải quay ra cúi đầu xl t,456
0,kk trùm dân war ,457
0,t từng tự xưng mình là dân war,458
0,nhớ năm trc xem vd mấy ach nhận là dân war,459
0,dân war lông nách à,460
0,hồi đó t cãi lộn vs bà nào đó bả tự nhận bả là dân war r bả nói t đụng tới bả là k xg đâu,461
0,t từng là dân war nửa mùa,462
0,hồi 2020 tập tành làm dân war ,463
0,đã từng là dân war 2 năm ,465
0,Từng trong đấng tối cao ,466
0,war là gì zị chứ tui toàn call rồi xong nó k chơi lại thì là thêm bạn vô nhóm ,467
0,Parky là gì vậy,468
0,Là cách gọi của người tây người Mỹ gọi miền bắc  là bắc kỳ nhưng bọn tây nó nói nhịu thành parky ,469
0,Giờ mới biết,470
0,Đó là tên mà Thực Dân Pháp gọi để chia cắt Miền Bắc thời xưa  Ý chỉ Miền Bắc và Miền Nam là 2 quốc gia khác nhau,471
0,giờ Miền Nam vẫn chửi bắc mình nv mà k b bọn nó nghĩ gì nữa đến ạ,472
0, Em xin ạ,473
0,Bác nhờ mấy ông tây nói câu bắc kỳ đi  rồi sẽ biết họ đọc là parky ,474
0,Theo mình thì parky không phải là một câu chui chỉ là một số người vn cảm thấy không thoải mái khi nghe người việt học theo bọn thực dân nói parky,475
0,Tây nội địa à,476
0,ngày xưa ko có miền Bắc vào giải phóng cho miền Nam thì bây giờ đâu có bọn này chung nước đâu bạn,477
0,Parky cũng là ng Việt cũng là đồng bào mà parki thì sao ăn của chúng m à,478
3,parky,479
3,Chịu rồi parky ơi,480
3,Này cô em parky nho nhỏ ,481
3,parky haha,482
3,parky này dữ,483
0,Cô Giáo bây giờ hiền thế,484
0,Bây h mxh đôi khi 1 lời nói cũng làm lụi bại sư nghiệp của con ng rồiđâu đánh hs như ngày xưa đc đâu,485
0,Giơ hơi quát mắng  hoặc có đánh con ng ta 1 tí thì mxh nó ầm ầm lên  thế lọ thế kia nên hs giờ nó k bít sợ ý bạn,486
0,Đánh mắng thì phuynh làm ầm ầm Rồi k dám la mắng hs nó hư hỏng cái bảo Thầy cô thiếu năng lực dạy k hiệu quả,487
0,người có học pải khác ,488
0,Nghe từ 2 phía chú ơi,489
0,cần gì xem 2 phía nhỏ mà thế còn gì để nói nữa dù cô có sai thì đã là học sinh nên tôn trọng cô,490
0,Kể cả cô giáo có nói thì cũng phải giáo dục lại tụi này nhé nếu là bạn dạy bọn này nó nt thì bạn có lên tiếng k,491
0,Hai cái gì Chưa nghe thấy thầy cô như bố mẹ à bố mẹ có sai thì con cái cũng ko đc hỗn,492
0,Thế cô sai thì học sinh có quyền đối xử với cô giáo như thế à Rồi là đi học làm người dữ chưa hay học làm quỷ,493
0,Ngta phải xem 2 phía để còn biết nắm bắt xem chuyện gì xảy ra ai sai ai đúng rồi còn đưa ra hướng giải quyết chứ như bạn xem từ 1 phía thì rất chủ qua,494
0,con đánh cha đánh mẹ do bị chửi rủa là đúng à Đây còn là học sinh cấp 2 mà đã thế này rồi thì k thể chấp nhận đc Hồi đi học cô thầy mà chửi hay đánh,495
0,thì cũng im lặng mà thôi kể cả mình đúng hay đi nữa thì cũng k đc có thái độ như vậy ,496
0,cần gì 2 phía k biết bạn có chưa Bạn ví con bạn mà nó chửi tay đôi với ném dép vào mình thì hiểu Dù người lớn có sai dfi nữa thì cũng phải nhịn thôi,497
0,Bạn hiểu mik đang nói gì koTrong trường hợp này thì cư dân mạng chúng ta là ng trung gian và phải nghe từ 2 phía mới biết ai đúng sai chứ,498
0,cô quát mắng chi bọn đi học thua những đứa k đi học đó rồi những bọn chúng k nên có thái độ đó rồi,499
0,Các bác phải về tận nơi sẽ biết cô giáo đấy ntn bác ạ  e gần nên rõ nét cô giáo lắm luôn ấy,500
-1,Hoàng Anh ,501
0,Cô giáo mà giữ thì xác định bị đuổi mất việc,502
0,ngày xưa như này thì vừa trận đòn cô giáo về ăn nguyên compo bố mẹ phang nữa,503
0,Dữ mà b cô giáo cầm dày cam gót dí học sinh mà,504
0,nhưng có cam mà này đủ lý do để dạy rồi,505
0,Hiền j b Mình ở gần đây cô giáo này k đơn giản vậy đâu,506
0,Cô này k hề hiền luôn a ạ mà cô k thể chấp nhận được luôn ấy  hs như vậy là sai nhưng cô giáo phải ntn thì hs mới như vậy ,507
0,Tại con người ta giừo con vàng con ngọc rồi bạn ơi Thầy cô làm gì trịch ý là bị đình chỉ hazzz k như xưa nữa,508
0,Hiền thế mà còn bị các nhà giáo dục học kêu xem lại thái độ kìa,509
0,động vào là rách việc cái gì cũng lỗi giáo viên nên cô im lặng là vàng,510
0,Giáo viên có dc đánh hs đâu đc đánh thì mấy bọn hs chết với cô đấy luôn,511
0,Đụng zô thì lại con tôi ở nhà ngoan lắm  Nên để nhà trường giải quyết,512
0,Gặp cô dạy văn lớp t là thôi rồi,513
0,Không phải hiền đâu ai cug có lúc muốn phản kháng và hs với ph bây giờ nhiều người mệt lắm,514
0,Dám đâu la rầy con họ chame nó lên nhảy trên đầu cổ ấy bởi giờ làm gv ngán mình chả hướng con theo ngành nghề này,515
0,Không hiền thì mất nghề à bạn,516
0,Ko ai hiền đâu bạn ạ Chỉ là nếu có động cựa gì thì phụ huynh lại yêu cầu đuổi rồi có khi phải quỳ xin lỗi hs í nên giờ mới có cơ hội ntn,517
2,chứ giờ đánh nó 1 cái bố mẹ nó lên gào mồmtrường thì sợ mang tiếng lại bao che hs đuổi giáo viên thì chúng nó coi giáo viên ra gì đâu,518
0,ko hiền chúng nó lại kiện cho,519
0,đụng cải cả dòng họ kéo đến sao đánh con tui chửi con tui,520
0,Dữ là bị kiện đó b Phụ huynh bây h k thích cô giáo dữ đâu,521
0,Nếu ác mả lớp làm thế cô ác lên cũng khong lmj đc ý,522
0,Cô giáo bây giờ ko hiền thì bị đuổi việc  bị kiện  bị cả xã hội lên án,523
0,k phải hiền mà là sợ  mất việc pH chửi phụ huynh thưa đánh hội đồng ngoài đường nên giờ hết tiết đi ra hết giờ về k nói k động đến cục vàng,524
0,1 phần là do phụ huynh cứ hơi tí là kiện cáo 1 phần do gv ko chuẩn mực,525
0,bây giờ hở miệng mắng phát bay chén cơm,526
3,mafia_hocmon_07 văn hóa parky,527
3,Chia buồn với gia đình đợi xíu t đu càng vào thăm viếng,528
2,Gia môn bất hạnh gia chủ bất hiếu Chia buồn với gia đình,529
2,Bt rx bắn vào bồn cầu,530
0,m có khác gì đâu,531
3,parky haizzz,532
3,narky chả ai nghĩ gì bảo parky nhảy như bị đạp đuôi parky đáy xã hội,533
3,lướt cmt ai cũng cmt parky cay ko Cay hả Kkkkkkkkkk,534
3,sao dung ko namky hay narky Thấy ko sat thuong hả T chỉ cho dùng từ này nè Parky parky cay Parky parky Parky parky parky parky,535
2,Tại chúng mày thích được bố mẽo đặt tên nên quẫy đuôi thấy thích thôi,536
3,nhìn ava biết parky  sao tên m là parkykiki vậy parky cay t à nói t namky đi T có cay ko Sao nói parky cay dữ vay,537
2,Chúng mày vẫn chưa được phổ cập hết chữ quốc ngữ à nhìn đâu cũng ra bắc kỳ vậy lai máu cam và hoa tây có khác nhỉ bắc bọn tao gọi chúng mày là Lai,538
0,Khổ thân giờ nhìn đâu cũng thành vậy à con Lai có khác lai tí tây tí cam và hoa vào sang nhỉ,539
2,Tao chỉ thấy lũ nào cay suốt ngày lên mạng parky parky cái tên ấy bọn tây đặt bọn tao ko thích chứ bọn tao ko cay ai như chúng mày quẫy đuôi,540
3,thiệt ko cay ko  Ko quan tâm vào cmt cắn bậy kìa Lướt cmt toàn thấy parky ko Thà 1 ng nói ko sao cả xã hội lên án parky thì tự hiểu parky parky,541
3,cmt t tận 20 like cmt parky khác nhiều like quá ko đếm hết Thôi t spam parky tiếp Văn hóa parky rác parky đi tới đâu phá tới đó parky đáy xh,542
3,khét quá parky ơi ,543
0,xin chia buồn cùng gđ,544
2,có bố mẹ đâu mà chia buồn,545
0,bằng chứng,546
0,xem mà cayy thật đấy,547
3,chuẩn parky rồi,548
0,Ae miền j v tui miền bắc  nói parky  resport  block  bị phốt ,550
0,Miền Bắc not miền bắc ,551
0,Lười tí,552
0,Hồi xưa đi học xem thầy cô là cha là mẹ chưa dám cãi điều gì Còn bây giờ Thầy cô như bạn bè của học sinh chẳng có một sự tôn trọng nào,554
0,Mình đi dạy học sinh nó còn bảo em chào anh,555
0,mình đi dạy cũng thế học sinh kêu em chào chị trong khi học sinh 11t mình 26t,556
0,chuẩn mấy đứa hỗn với tào lao lắm ý đợt còn đi part time ức chế suốt luôn á,557
0,Hồi đại học có thầy trẻ mà lớp m ai cũng thích k ai dám gọi anh Vẫn 1 thầy 2 là thầy,558
0,Phải giải thíc cho hs hiểu bạn ạ mình 27t Mình dạy cấp 1 Cno gọi mình bằng chị Nhg mình bảo con phải gọi cô là cô,559
0,Cô đã ra trường Có công việc đàng hoàng Cùng là đồng nghiệp với các cô có tuổi ở trường Hơn nữa mọi ng gọi là cô giáo chứ có ai gọi là chị giáo,560
